city,state,population,metro_population,median_household_income,median_home_price,lat,lon,avg_temp_f,avg_temp_c,avg_high_f,avg_low_f,avg_summer_high_f,avg_winter_low_f,walkability_score,walkability_score_100,dist_airport_miles,nearest_airport,dist_zoo_miles,nearest_zoo,dist_theme_park_miles,nearest_theme_park,dist_natl_park_miles,nearest_natl_park,dist_natl_forest_miles,nearest_natl_forest,coastline_type,dist_coast_miles,elevation_ft,parks_within_100mi,nature_score,dist_state_park_miles,nearest_state_park,temp_range_f,has_winter,has_summer,has_spring_fall,seasons_count,seasons_score,nfl_teams,mlb_teams,nba_teams,nhl_teams,mls_teams,total_pro_teams,sports_score,environment_type
New York,NY,8804190,19940274.0,76607.0,732100.0,40.7127281,-74.0060152,55.0,12.8,62.4,47.5,82.3,29.0,12.58,60.9,8.3,LaGuardia New York,4.2,Central Park Zoo NY,25.2,Rye Playland NY,44.5,Fire Island NS,267.5,Allegheny NF PA,ocean,0.9,105.0,7.0,53.0,34.0,Harriman State Park NY,53.3,True,True,True,4.0,100.0,2,2,2,2,2,10,100.0,coastal
Los Angeles,CA,3898747,12927614.0,76244.0,822600.0,34.0536909,-118.242766,65.9,18.8,77.1,54.8,86.4,46.4,13.48,65.7,12.1,Burbank Hollywood,7.4,LA Zoo CA,8.6,Universal Studios Hollywood CA,88.2,Channel Islands NP,21.9,Angeles NF CA,ocean,15.2,315.0,5.0,51.5,90.3,Mount San Jacinto SP CA,40.0,False,True,True,2.0,50.0,2,2,2,1,2,9,90.0,coastal
Chicago,IL,2746388,9408576.0,71673.0,304500.0,41.8755616,-87.6244212,50.9,10.5,58.1,43.7,79.8,22.6,11.94,57.6,9.0,Midway Chicago,3.2,Lincoln Park Zoo IL,37.7,Six Flags Great America IL,33.3,Indiana Dunes NP,182.0,Huron Manistee NF MI,great_lakes,8.7,653.0,3.0,45.5,33.1,Indiana Dunes SP IN,57.2,True,True,True,4.0,100.0,1,2,1,1,1,6,60.0,great_lakes
Houston,TX,2304580,7796182.0,60440.0,235000.0,29.7589382,-95.3676974,70.1,21.2,77.7,62.5,89.1,48.8,10.14,48.1,16.0,George Bush Houston,3.3,Houston Zoo TX,195.4,Six Flags Fiesta Texas TX,224.0,Padre Island NS,65.3,Sam Houston NF TX,none,88.2,69.0,1.0,12.5,254.3,Lost Maples SP TX,40.3,False,True,True,2.0,50.0,1,1,1,0,1,4,40.0,plains
Phoenix,AZ,1608139,5186958.0,72092.0,340200.0,33.4484367,-112.074141,74.3,23.5,86.3,62.3,104.9,43.2,10.93,52.3,3.9,Phoenix Sky Harbor,7.4,Phoenix Zoo AZ,302.5,SeaWorld San Diego CA,101.4,Saguaro NP,66.5,Tonto NF AZ,none,301.8,1093.0,2.0,15.0,251.4,Valley of Fire SP NV,61.7,False,True,True,2.0,50.0,0,1,1,0,0,2,20.0,desert
Philadelphia,PA,1603797,6330422.0,57537.0,215500.0,39.9527237,-75.1635262,56.7,13.7,65.1,48.3,85.1,29.6,12.38,59.9,7.0,Philadelphia,2.2,Philadelphia Zoo PA,40.4,Six Flags Great Adventure NJ,115.6,Fire Island NS,231.1,Allegheny NF PA,none,56.6,39.0,5.0,24.5,72.8,Delaware Water Gap NRA,55.5,True,True,True,4.0,100.0,1,1,1,1,1,5,50.0,plains
San Antonio,TX,1434625,2763006.0,59593.0,198000.0,29.4246002,-98.4951405,71.3,21.8,80.8,61.8,94.0,46.7,10.47,49.8,7.7,San Antonio,2.8,San Antonio Zoo TX,12.5,SeaWorld San Antonio TX,178.6,Padre Island NS,199.8,Sam Houston NF TX,none,130.2,659.0,2.0,15.0,71.3,Lost Maples SP TX,47.3,False,True,True,2.0,50.0,0,0,1,0,0,1,10.0,plains
San Diego,CA,1386932,3298799.0,98657.0,783300.0,32.7174202,-117.162772,62.8,17.1,69.5,56.0,74.7,47.3,12.19,58.9,2.1,San Diego,1.4,San Diego Zoo CA,4.9,SeaWorld San Diego CA,108.1,Joshua Tree NP,48.3,Cleveland NF CA,ocean,2.5,95.0,4.0,53.0,14.9,Torrey Pines SP CA,27.4,False,False,False,1.0,25.0,0,1,0,0,1,2,20.0,coastal
Dallas,TX,1304379,8344032.0,63985.0,270700.0,32.7762719,-96.7968559,66.8,19.3,75.6,57.9,91.6,40.9,10.2,48.4,5.8,Dallas Love Field,2.5,Dallas Zoo TX,16.0,Six Flags Over Texas TX,247.6,Hot Springs NP,162.2,Sam Houston NF TX,none,267.2,436.0,0.0,2.0,263.7,Lost Maples SP TX,50.7,False,True,True,2.0,50.0,1,1,1,1,1,5,50.0,plains
San Jose,CA,1013240,1995484.0,136010.0,1149600.0,37.3361663,-121.890591,62.1,16.7,72.4,51.7,84.5,44.0,13.44,65.5,2.8,San Jose,33.2,Oakland Zoo CA,6.3,California's Great America CA,70.3,Pinnacles NP,136.7,Eldorado NF CA,ocean,20.4,112.0,4.0,39.0,57.7,Point Lobos SP CA,40.5,False,True,True,2.0,50.0,1,1,1,1,1,5,50.0,coastal
Austin,TX,961855,2550637.0,86556.0,461500.0,30.2711286,-97.7436995,69.8,21.0,79.0,60.6,92.8,45.0,9.68,45.7,6.9,Austin-Bergstrom,71.0,San Antonio Zoo TX,69.6,Six Flags Fiesta Texas TX,224.4,Padre Island NS,137.1,Sam Houston NF TX,none,171.5,548.0,0.0,4.0,115.9,Lost Maples SP TX,47.8,False,True,True,2.0,50.0,0,0,0,0,1,1,10.0,plains
Jacksonville,FL,949611,1760548.0,64138.0,243000.0,30.3262247,-81.6579179,70.9,21.6,78.1,63.6,87.1,51.3,9.31,43.7,11.7,Jacksonville,7.8,Jacksonville Zoo FL,128.0,Universal Orlando FL,244.5,Congaree NP,71.2,Ocala NF FL,ocean,16.2,13.0,2.0,30.0,74.4,Ichetucknee Springs SP FL,35.8,False,True,False,1.0,25.0,1,0,0,0,0,1,10.0,coastal
Fort Worth,TX,918915,8344032.0,72726.0,250300.0,32.753177,-97.3327459,67.3,19.6,76.4,58.2,92.8,41.1,10.2,48.4,19.8,Dallas/Fort Worth,1.7,Fort Worth Zoo TX,15.2,Six Flags Over Texas TX,275.7,Hot Springs NP,177.9,Sam Houston NF TX,none,287.5,640.0,0.0,2.0,243.7,Lost Maples SP TX,51.7,False,True,True,2.0,50.0,1,1,1,1,1,5,50.0,plains
Columbus,OH,905748,2225377.0,62994.0,212500.0,39.9622601,-83.0007065,54.2,12.3,63.2,45.2,83.3,26.0,9.16,42.9,6.3,Columbus Ohio,14.8,Columbus Zoo OH,80.0,Kings Island OH,118.1,Cuyahoga Valley NP,92.2,Wayne NF OH,none,107.3,758.0,1.0,13.5,161.2,McConnells Mill SP PA,57.3,True,True,True,4.0,100.0,0,0,0,1,1,2,20.0,plains
Indianapolis,IN,887642,2174833.0,,,39.7683331,-86.1583502,54.3,12.4,63.1,45.6,83.7,25.8,9.4,44.2,8.1,Indianapolis,1.4,Indianapolis Zoo IN,63.9,Indiana Beach IN,138.3,Indiana Dunes NP,102.1,Hoosier NF IN,none,150.7,712.0,0.0,9.0,135.7,Indiana Dunes SP IN,57.9,True,True,True,4.0,100.0,1,0,1,0,0,2,20.0,plains
Charlotte,NC,874579,2883370.0,74070.0,312800.0,35.2272086,-80.8430827,62.3,16.8,71.5,53.1,87.2,37.2,8.33,38.6,5.7,Charlotte Douglas,63.9,North Carolina Zoo NC,10.2,Carowinds NC,71.4,Blue Ridge Parkway,82.7,Sumter NF SC,none,175.8,833.0,4.0,33.0,64.7,Cheraw SP SC,50.0,False,True,True,2.0,50.0,1,0,1,0,1,3,30.0,hills
San Francisco,CA,873965,4648486.0,136689.0,1348700.0,37.7879363,-122.4075201,57.1,13.9,62.0,52.2,65.6,46.6,13.14,63.9,11.6,San Francisco,6.5,San Francisco Zoo CA,26.0,Six Flags Discovery Kingdom CA,31.5,Point Reyes NS,138.8,Eldorado NF CA,ocean,0.9,85.0,3.0,53.5,74.1,Salt Point SP CA,19.0,False,False,False,1.0,25.0,1,1,1,1,1,5,50.0,coastal
Seattle,WA,737015,4145494.0,116068.0,879900.0,47.6038321,-122.330062,52.9,11.6,59.2,46.7,73.8,37.6,11.85,57.1,10.7,Seattle-Tacoma,4.6,Woodland Park Zoo WA,20.1,Wild Waves WA,57.5,Mount Rainier NP,47.3,Mt Baker NF WA,ocean,1.4,131.0,8.0,65.0,55.2,Olympic SP WA,36.2,False,False,False,1.0,25.0,1,1,0,1,1,4,40.0,coastal
Denver,CO,715522,3052498.0,85853.0,540400.0,39.7392364,-104.984862,50.1,10.1,63.9,36.3,87.3,17.6,12.03,58.1,18.4,Denver,2.0,Denver Zoo CO,1.6,Elitch Gardens CO,55.7,Rocky Mountain NP,68.0,Arapaho Roosevelt NF CO,none,810.7,5279.0,8.0,51.0,11.8,Red Rocks Park CO,69.7,True,True,True,4.0,100.0,1,1,1,1,1,5,50.0,mountains
Washington,DC,689545,6436489.0,101722.0,705000.0,38.8950368,-77.0365427,58.0,14.4,66.7,49.4,86.2,31.3,11.16,53.5,3.0,Reagan Washington,2.5,Smithsonian National Zoo DC,76.4,Kings Dominion VA,81.9,Shenandoah NP,125.3,George Washington NF VA,ocean,28.9,39.0,3.0,39.5,19.0,Patuxent River SP MD,54.9,True,True,True,4.0,100.0,1,1,1,1,1,5,50.0,coastal
Nashville,TN,689447,2150553.0,,,36.1622767,-86.7742984,60.6,15.9,69.6,51.7,86.2,35.3,8.32,38.5,6.0,Nashville,7.8,Nashville Zoo TN,135.4,Holiday World IN,79.9,Mammoth Cave NP,145.3,Shawnee NF IL,none,384.0,449.0,3.0,18.5,80.8,Mammoth Cave Area KY,50.9,False,True,True,2.0,50.0,1,0,0,1,1,3,30.0,plains
Oklahoma City,OK,681054,1497821.0,64251.0,196700.0,35.4729886,-97.5170536,61.8,16.6,71.0,52.6,90.0,32.8,9.67,45.6,7.3,Oklahoma City,4.7,Oklahoma City Zoo OK,188.9,Six Flags Over Texas TX,262.1,Hot Springs NP,210.5,Ouachita NF AR,none,444.1,1220.0,0.0,0.0,240.0,Palo Duro Canyon SP TX,57.2,True,True,True,4.0,100.0,0,0,1,0,0,1,10.0,plains
El Paso,TX,678815,879392.0,55710.0,159300.0,31.7601001,-106.4870476,65.3,18.5,77.3,53.4,94.4,35.2,11.53,55.4,7.2,El Paso,2.7,El Paso Zoo TX,490.2,SeaWorld San Antonio TX,71.4,White Sands NP,103.1,Lincoln NF NM,none,610.0,3743.0,2.0,29.0,351.4,Palo Duro Canyon SP TX,59.2,False,True,True,2.0,50.0,0,0,0,0,0,0,0.0,desert
Boston,MA,675647,5025517.0,89212.0,684900.0,42.3588336,-71.0578303,51.9,11.1,60.0,43.8,80.9,24.8,12.01,57.9,2.5,Logan Boston,4.2,Franklin Park Zoo MA,82.7,Six Flags New England MA,63.6,Cape Cod NS,412.2,Allegheny NF PA,ocean,5.0,46.0,2.0,30.0,95.6,Mohawk Trail SP MA,56.1,True,True,True,4.0,100.0,1,1,1,1,1,5,50.0,coastal
Portland,OR,652503,2537904.0,85876.0,523100.0,45.5202471,-122.674194,53.9,12.2,62.4,45.4,80.2,35.9,11.86,57.2,6.1,Portland,2.2,Oregon Zoo OR,2.6,Oaks Park OR,104.3,Mount Rainier NP,45.2,Mt Hood NF OR,none,64.4,62.0,3.0,30.5,35.0,Columbia River Gorge OR,44.3,False,True,True,2.0,50.0,0,0,1,0,1,2,20.0,valley
Las Vegas,NV,641903,2398871.0,66356.0,365300.0,36.1674263,-115.1484131,69.9,21.1,81.1,58.8,104.0,39.2,11.83,57.0,5.8,McCarran Las Vegas,2.3,Las Vegas Springs Preserve NV,226.0,Disneyland CA,110.2,Death Valley NP,160.5,Kaibab NF AZ,none,241.4,2034.0,1.0,20.5,42.8,Valley of Fire SP NV,64.8,False,True,True,2.0,50.0,1,0,0,1,0,2,20.0,desert
Detroit,MI,639111,4400578.0,37761.0,66700.0,42.3315509,-83.0466403,51.0,10.6,58.7,43.3,81.1,23.6,8.97,41.9,17.7,Detroit Metro,11.6,Detroit Zoo MI,61.6,Cedar Point OH,105.3,Cuyahoga Valley NP,169.2,Huron Manistee NF MI,none,56.7,600.0,0.0,11.0,151.3,Presque Isle SP PA,57.5,True,True,True,4.0,100.0,1,1,1,1,0,4,40.0,plains
Memphis,TN,633104,1339345.0,48090.0,139600.0,35.1460249,-90.0517638,62.8,17.1,71.3,54.4,87.7,37.3,9.64,45.5,8.3,Memphis,0.9,Memphis Zoo TN,212.1,Silver Dollar City MO,175.3,Hot Springs NP,163.1,Mark Twain NF MO,none,333.8,282.0,0.0,6.0,256.9,DeSoto SP AL,50.4,False,True,True,2.0,50.0,0,0,1,0,0,1,10.0,plains
Louisville,KY,633045,1394234.0,,,38.2542376,-85.759407,57.9,14.4,66.9,49.0,85.5,30.7,9.99,47.3,5.7,Louisville,91.3,Cincinnati Zoo OH,65.1,Holiday World IN,76.0,Mammoth Cave NP,35.0,Hoosier NF IN,none,255.0,472.0,3.0,29.5,75.1,Mammoth Cave Area KY,54.8,True,True,True,4.0,100.0,0,0,0,0,0,0,0.0,plains
Baltimore,MD,585708,2859024.0,58349.0,202900.0,39.2908816,-76.610759,57.3,14.1,65.4,49.2,84.7,30.8,11.06,52.9,8.5,Baltimore/Washington,3.1,Maryland Zoo MD,68.8,Hersheypark PA,113.4,Assateague Island NS,154.9,George Washington NF VA,ocean,6.0,43.0,3.0,39.5,16.6,Patuxent River SP MD,53.9,True,True,True,4.0,100.0,1,1,0,0,0,2,20.0,coastal
Milwaukee,WI,577222,1574452.0,49733.0,157800.0,43.0386475,-87.9090751,48.9,9.4,56.7,41.1,79.7,19.2,11.75,56.6,6.3,Milwaukee Mitchell,6.5,Milwaukee County Zoo WI,46.2,Six Flags Great America IL,105.2,Indiana Dunes NP,138.0,Huron Manistee NF MI,great_lakes,2.7,584.0,1.0,30.5,93.8,Devil's Lake SP WI,60.5,True,True,True,4.0,100.0,0,1,1,0,0,2,20.0,great_lakes
