city,state,population,land_area_sq_mi,city_state,lat,lon,metro_population,msa_name,median_household_income,median_home_price,avg_temp_f,avg_temp_c,avg_high_f,avg_low_f,avg_summer_high_f,avg_winter_low_f,walkability_score,walkability_score_100,dist_airport_miles,nearest_airport,dist_zoo_miles,nearest_zoo,dist_theme_park_miles,nearest_theme_park,dist_natl_park_miles,nearest_natl_park,dist_natl_forest_miles,nearest_natl_forest,coastline_type,dist_coast_miles,elevation_ft,parks_within_100mi,nature_score,dist_state_park_miles,nearest_state_park,temp_range_f,has_winter,has_summer,has_spring_fall,seasons_count,seasons_score,nfl_teams,mlb_teams,nba_teams,nhl_teams,mls_teams,total_pro_teams,sports_score,environment_type
New York,NY,8478072,300.5,"New York, NY",40.712728,-74.006015,19940274.0,,76607.0,732100.0,54.4,12.4,62.1,46.8,81.9,27.6,12.58,60.9,8.3,LaGuardia New York,4.2,Central Park Zoo NY,25.2,Rye Playland NY,44.5,Fire Island NS,267.5,Allegheny NF PA,ocean,0.9,105.0,7.0,53.0,34.0,Harriman State Park NY,54.3,True,True,True,4,100.0,2,2,2,2,2,10,100.0,coastal
Los Angeles,CA,3878704,469.5,"Los Angeles, CA",34.053691,-118.242766,12927614.0,,76244.0,822600.0,66.5,19.2,77.9,55.2,87.0,46.6,13.48,65.7,12.1,Burbank Hollywood,7.4,LA Zoo CA,8.6,Universal Studios Hollywood CA,88.2,Channel Islands NP,21.9,Angeles NF CA,ocean,15.2,315.0,5.0,51.5,90.3,Mount San Jacinto SP CA,40.4,False,True,True,2,50.0,2,2,2,1,2,9,90.0,coastal
Chicago,IL,2721308,227.7,"Chicago, IL",41.875562,-87.624421,9408576.0,,71673.0,304500.0,50.2,10.1,56.9,43.6,78.1,21.9,11.94,57.6,9.0,Midway Chicago,3.2,Lincoln Park Zoo IL,37.7,Six Flags Great America IL,33.3,Indiana Dunes NP,182.0,Huron Manistee NF MI,great_lakes,8.7,653.0,3.0,45.5,33.1,Indiana Dunes SP IN,56.2,True,True,True,4,100.0,1,2,1,1,1,6,60.0,great_lakes
Houston,TX,2390125,640.4,"Houston, TX",29.758938,-95.367697,7796182.0,,60440.0,235000.0,70.3,21.3,78.2,62.5,90.5,48.1,10.14,48.1,16.0,George Bush Houston,3.3,Houston Zoo TX,195.4,Six Flags Fiesta Texas TX,224.0,Padre Island NS,65.3,Sam Houston NF TX,none,88.2,69.0,1.0,12.5,254.3,Lost Maples SP TX,42.4,False,True,True,2,50.0,1,1,1,0,1,4,40.0,plains
Phoenix,AZ,1673164,518.0,"Phoenix, AZ",33.448437,-112.074141,5186958.0,,72092.0,340200.0,74.2,23.4,86.5,62.0,104.5,43.4,10.93,52.3,3.9,Phoenix Sky Harbor,7.4,Phoenix Zoo AZ,302.5,SeaWorld San Diego CA,101.4,Saguaro NP,66.5,Tonto NF AZ,none,301.8,1093.0,2.0,15.0,251.4,Valley of Fire SP NV,61.1,False,True,True,2,50.0,0,1,1,0,0,2,20.0,desert
Philadelphia,PA,1573916,134.4,"Philadelphia, PA",39.952724,-75.163526,6330422.0,,57537.0,215500.0,56.2,13.4,64.6,47.8,84.4,28.8,12.38,59.9,7.0,Philadelphia,2.2,Philadelphia Zoo PA,40.4,Six Flags Great Adventure NJ,115.6,Fire Island NS,231.1,Allegheny NF PA,none,56.6,39.0,5.0,24.5,72.8,Delaware Water Gap NRA,55.6,True,True,True,4,100.0,1,1,1,1,1,5,50.0,plains
San Antonio,TX,1526656,498.8,"San Antonio, TX",29.4246,-98.495141,2763006.0,,59593.0,198000.0,71.1,21.7,80.4,61.7,94.7,46.1,10.47,49.8,7.7,San Antonio,2.8,San Antonio Zoo TX,12.5,SeaWorld San Antonio TX,178.6,Padre Island NS,199.8,Sam Houston NF TX,none,130.2,659.0,2.0,15.0,71.3,Lost Maples SP TX,48.6,False,True,True,2,50.0,0,0,1,0,0,1,10.0,plains
San Diego,CA,1404452,325.9,"San Diego, CA",32.71742,-117.162772,3298799.0,,98657.0,783300.0,63.6,17.6,70.5,56.6,75.5,48.3,12.19,58.9,2.1,San Diego,1.4,San Diego Zoo CA,4.9,SeaWorld San Diego CA,108.1,Joshua Tree NP,48.3,Cleveland NF CA,ocean,2.5,95.0,4.0,53.0,14.9,Torrey Pines SP CA,27.2,False,False,False,1,25.0,0,1,0,0,1,2,20.0,coastal
Dallas,TX,1326087,339.6,"Dallas, TX",32.776272,-96.796856,8344032.0,,63985.0,270700.0,67.5,19.7,76.3,58.6,93.1,40.6,10.2,48.4,5.8,Dallas Love Field,2.5,Dallas Zoo TX,16.0,Six Flags Over Texas TX,247.6,Hot Springs NP,162.2,Sam Houston NF TX,none,267.2,436.0,0.0,2.0,263.7,Lost Maples SP TX,52.5,False,True,True,2,50.0,1,1,1,1,1,5,50.0,plains
Jacksonville,FL,1009833,747.3,"Jacksonville, FL",30.326225,-81.657918,1760548.0,"Jacksonville, FL MSA",64138.0,243000.0,70.8,21.6,78.1,63.4,88.2,50.9,9.31,43.7,11.7,Jacksonville,7.8,Jacksonville Zoo FL,128.0,Universal Orlando FL,244.5,Congaree NP,71.2,Ocala NF FL,ocean,16.2,13.0,2.0,30.0,74.4,Ichetucknee Springs SP FL,37.3,False,True,False,1,25.0,1,0,0,0,0,1,10.0,coastal
