Rank	City	Population
1	New York, NY	8804190
2	Los Angeles, CA	3898747
3	Chicago, IL	2746388
4	Houston, TX	2304580
5	Phoenix, AZ	1608139
6	Philadelphia, PA	1603797
7	San Antonio, TX	1434625
8	San Diego, CA	1386932
9	Dallas, TX	1304379
10	San Jose, CA	1013240
11	Austin, TX	961855
12	Jacksonville, FL	949611
13	Fort Worth, TX	918915
14	Columbus, OH	905748
15	Indianapolis, IN	887642
16	Charlotte, NC	874579
17	San Francisco, CA	873965
18	Seattle, WA	737015
19	Denver, CO	715522
20	Washington, DC	689545
21	Nashville, TN	689447
22	Oklahoma City, OK	681054
23	El Paso, TX	678815
24	Boston, MA	675647
25	Portland, OR	652503
26	Las Vegas, NV	641903
27	Detroit, MI	639111
28	Memphis, TN	633104
29	Louisville, KY	633045
30	Baltimore, MD	585708
31	Milwaukee, WI	577222
32	Albuquerque, NM	564559
33	Tucson, AZ	542629
34	Fresno, CA	542107
35	Sacramento, CA	524943
36	Kansas City, MO	508090
37	Mesa, AZ	504258
38	Atlanta, GA	498715
39	Omaha, NE	486051
40	Colorado Springs, CO	478961
41	Raleigh, NC	467665
42	Long Beach, CA	466742
43	Virginia Beach, VA	459470
44	Miami, FL	442241
45	Oakland, CA	440646
46	Minneapolis, MN	429954
47	Tulsa, OK	413066
48	Bakersfield, CA	403455
49	Wichita, KS	397532
50	Arlington, TX	394266
51	Aurora, CO	386261
52	Tampa, FL	384959
53	New Orleans, LA	383997
54	Cleveland, OH	372624
55	Honolulu, HI	350964
56	Anaheim, CA	346824
57	Lexington, KY	322570
58	Stockton, CA	320804
59	Corpus Christi, TX	317863
60	Henderson, NV	317610
61	Riverside, CA	314998
62	Newark, NJ	311549
63	St Paul, MN	311527
64	Santa Ana, CA	310227
65	Cincinnati, OH	309317
66	Irvine, CA	307670
67	Orlando, FL	307573
68	Pittsburgh, PA	302971
69	St Louis, MO	301578
70	Greensboro, NC	299035
71	Jersey City, NJ	292449
72	Anchorage, AK	291247
73	Lincoln, NE	291082
74	Plano, TX	285494
75	Durham, NC	283506
76	Buffalo, NY	278349
77	Chandler, AZ	275987
78	Chula Vista, CA	275487
79	Toledo, OH	270871
80	Madison, WI	269840
81	Gilbert, AZ	267918
82	Reno, NV	264165
83	Fort Wayne, IN	263886
84	North Las Vegas, NV	262527
85	St Petersburg, FL	258308
86	Lubbock, TX	257141
87	Irving, TX	256684
88	Laredo, TX	255205
89	Winston Salem, NC	249545
90	Chesapeake, VA	249422
91	Glendale, AZ	248325
92	Garland, TX	246018
93	Scottsdale, AZ	241361
94	Norfolk, VA	238005
95	Boise, ID	235684
96	Fremont, CA	230504
97	Spokane, WA	228989
98	Santa Clarita, CA	228673
99	Baton Rouge, LA	227470
100	Richmond, VA	226610
101	Hialeah, FL	223109
102	San Bernardino, CA	222101
103	Tacoma, WA	219346
104	Modesto, CA	218464
105	Huntsville, AL	215006
106	Des Moines, IA	214133
107	Yonkers, NY	211569
108	Rochester, NY	211328
109	Moreno Valley, CA	208634
110	Fayetteville, NC	208501
111	Fontana, CA	208393
112	Columbus, GA	206922
113	Worcester, MA	206518
114	Port St Lucie, FL	204851
115	Little Rock, AR	202591
116	Augusta, GA	202081
117	Oxnard, CA	202063
118	Birmingham, AL	200733
119	Montgomery, AL	200603
120	Frisco, TX	200509
121	Amarillo, TX	200393
122	Salt Lake City, UT	199723
123	Grand Rapids, MI	198917
124	Huntington Beach, CA	198711
125	Overland Park, KS	197238
126	Glendale, CA	196543
127	Tallahassee, FL	196169
128	Grand Prairie, TX	196100
129	McKinney, TX	195308
130	Cape Coral, FL	194016
131	Sioux Falls, SD	192517
132	Peoria, AZ	190985
133	Providence, RI	190934
134	Vancouver, WA	190915
135	Knoxville, TN	190740
136	Akron, OH	190469
137	Shreveport, LA	187593
138	Mobile, AL	187041
139	Brownsville, TX	186738
140	Newport News, VA	186247
141	Fort Lauderdale, FL	182760
142	Chattanooga, TN	181099
143	Tempe, AZ	180587
144	Aurora, IL	180542
145	Santa Rosa, CA	178127
146	Eugene, OR	176654
147	Elk Grove, CA	176124
148	Salem, OR	175535
149	Ontario, CA	175265
150	Cary, NC	174721
151	Rancho Cucamonga, CA	174453
152	Oceanside, CA	174068
153	Lancaster, CA	173516
154	Garden Grove, CA	171949
155	Pembroke Pines, FL	171178
156	Fort Collins, CO	169810
157	Palmdale, CA	169450
158	Springfield, MO	169176
159	Clarksville, TN	166722
160	Salinas, CA	163542
161	Hayward, CA	162954
162	Paterson, NJ	159732
163	Alexandria, VA	159467
164	Macon, GA	157346
165	Corona, CA	157136
166	Kansas City, KS	156607
167	Lakewood, CO	155984
168	Springfield, MA	155929
169	Sunnyvale, CA	155805
170	Jackson, MS	153701
171	Killeen, TX	153095
172	Hollywood, FL	153067
173	Murfreesboro, TN	152769
174	Pasadena, TX	151950
175	Bellevue, WA	151854
176	Pomona, CA	151713
177	Escondido, CA	151038
178	Joliet, IL	150362
179	Charleston, SC	150227
180	Mesquite, TX	150108
181	Naperville, IL	149540
182	Rockford, IL	148655
183	Bridgeport, CT	148654
184	Syracuse, NY	148620
185	Savannah, GA	147780
186	Roseville, CA	147773
187	Torrance, CA	147067
